('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mac Stomper Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC #1 Distillate Cartridge by Crystal Clear - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC X Weird Science Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC x Trophy Wife Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Macadelic Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Cured Cartridge by Lifted Cannabis - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Berry x Truffle Shuffle Live Resin Cartridge by Dabstract 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Stomper Live Resin Vape Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple MAC x Papaya Cake Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC 1 Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mac Zorris Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Candy MAC Live Resin Ceramic Cartridge by Lifted Cannabis - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Berry Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple MAC Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Guava Mac Platinum Cartridge by Flipside - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Smackles Rosin Cartridge by Constellation Cannabis - 0.5g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple MAC Live Resin Cartridge', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Berry Live Resin Cartridge', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Smackles Rosin Cartridge', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Guava Mac Platinum Cartridge', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Mac Mints Pure Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
